Player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 31
moses moody,2022-23,20.0,GSW,NBA,SG,63,3,13.0,1.7,3.6,0.476,0.8,2.1,0.363,0.9,1.5,0.641,0.584,0.6,0.8,0.698,0.4,1.2,1.7,0.8,0.3,0.1,0.5,0.9,4.8,
moses moody,2023-24,21.0,GSW,NBA,SG,66,9,17.5,2.9,6.4,0.462,1.1,3.0,0.36,1.8,3.3,0.555,0.548,1.1,1.4,0.785,1.0,2.0,3.0,0.9,0.6,0.4,0.7,1.4,8.1,
steph curry,2021-22,33.0,GSW,NBA,PG,64,64,34.5,8.4,19.1,0.437,4.5,11.7,0.38,3.9,7.4,0.527,0.554,4.3,4.7,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0,25.5,
steph curry,2022-23,34.0,GSW,NBA,PG,56,56,34.7,10.0,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,0.614,4.6,5.0,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,
steph curry,2023-24,35.0,GSW,NBA,PG,74,74,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4.0,7.7,0.515,0.573,4.0,4.4,0.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,26.4,
tyus jones,2021-22,25.0,MEM,NBA,PG,73.0,23.0,21.2,3.4,7.6,0.451,1.1,2.8,0.39,2.3,4.8,0.487,0.524,0.7,0.9,0.818,0.2,2.2,2.4,4.4,0.9,0.0,0.6,0.4,8.7,
tyus jones,2022-23,26.0,MEM,NBA,PG,80.0,22.0,24.3,3.9,8.9,0.438,1.5,4.1,0.371,2.4,4.8,0.495,0.523,1.0,1.3,0.8,0.4,2.2,2.5,5.2,1.0,0.1,0.9,0.4,10.3,
tyus jones,2023-24,27.0,WAS,NBA,PG,66.0,66.0,29.3,4.9,10.1,0.489,1.6,3.9,0.414,3.3,6.2,0.537,0.569,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1.0,0.7,12.0,
josh okogie,2021-22,23.0,MIN,NBA,SG,49.0,6.0,10.5,0.9,2.1,0.404,0.3,1.0,0.298,0.6,1.2,0.491,0.471,0.7,1.0,0.686,0.6,0.8,1.4,0.5,0.5,0.2,0.5,1.1,2.7,
josh okogie,2022-23,24.0,PHO,NBA,SG,72.0,26.0,18.8,2.3,5.8,0.391,0.9,2.7,0.335,1.3,3.0,0.442,0.471,1.9,2.7,0.724,1.5,2.0,3.5,1.5,0.8,0.5,0.9,1.6,7.3,
josh okogie,2023-24,25.0,PHO,NBA,SG,60.0,11.0,16.0,1.4,3.4,0.417,0.5,1.6,0.309,1.0,1.9,0.509,0.488,1.3,1.7,0.745,1.2,1.3,2.6,1.1,0.8,0.4,0.6,1.1,4.6,
bol bol,2021-22,22.0,DEN,NBA,PF,14.0,0.0,5.8,1.1,1.9,0.556,0.1,0.3,0.25,1.0,1.6,0.609,0.574,0.1,0.4,0.4,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4,
bol bol,2022-23,23.0,ORL,NBA,PF,70.0,33.0,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,0.577,1.2,1.5,0.759,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,
bol bol,2023-24,24.0,PHO,NBA,PF,43.0,0.0,10.9,2.2,3.5,0.616,0.5,1.2,0.423,1.7,2.3,0.717,0.689,0.3,0.4,0.789,0.7,2.4,3.2,0.4,0.2,0.6,0.4,1.0,5.2,
royce oneal,2021-22,28.0,UTA,NBA,SF,77.0,77.0,31.2,2.6,5.8,0.457,1.5,4.0,0.389,1.1,1.8,0.609,0.591,0.6,0.7,0.804,0.8,3.9,4.8,2.5,1.1,0.4,1.0,2.4,7.4,
royce oneal,2022-23,29.0,BRK,NBA,SF,76.0,53.0,31.7,3.0,7.8,0.386,2.1,5.5,0.389,0.9,2.3,0.379,0.524,0.7,0.9,0.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8,
royce oneal,2023-24,30.0,TOT,NBA,SF,79.0,14.0,24.7,2.7,6.8,0.397,2.0,5.3,0.37,0.7,1.5,0.496,0.542,0.3,0.4,0.686,0.8,4.0,4.8,2.8,0.7,0.6,0.9,2.2,7.7,
monte morris,2021-22,26.0,DEN,NBA,PG,75.0,74.0,29.9,5.0,10.3,0.484,1.7,4.2,0.395,3.3,6.1,0.545,0.564,1.0,1.1,0.869,0.4,2.7,3.0,4.4,0.7,0.2,1.0,1.2,12.6,
monte morris,2022-23,27.0,WAS,NBA,PG,62.0,61.0,27.3,4.0,8.3,0.48,1.3,3.3,0.382,2.7,5.0,0.543,0.555,1.0,1.2,0.831,0.4,3.0,3.4,5.3,0.7,0.2,1.0,1.2,10.3,
monte morris,2023-24,28.0,TOT,NBA,PG,33.0,0.0,14.4,1.9,4.6,0.405,0.8,2.1,0.386,1.1,2.5,0.422,0.493,0.4,0.6,0.684,0.2,1.5,1.7,2.1,0.6,0.3,0.2,0.4,5.0,
mason plumlee,2021-22,31.0,CHO,NBA,C,73.0,73.0,24.6,2.8,4.4,0.641,0.0,0.0,0.0,2.8,4.4,0.645,0.641,0.9,2.3,0.392,2.4,5.3,7.7,3.1,0.8,0.7,1.4,3.1,6.5,
mason plumlee,2022-23,32.0,TOT,NBA,C,79.0,60.0,26.0,4.2,6.1,0.68,0.0,0.0,,4.2,6.1,0.68,0.68,2.5,4.0,0.636,2.9,6.0,8.9,3.1,0.6,0.6,1.5,2.7,10.8,
mason plumlee,2023-24,33.0,LAC,NBA,C,46.0,11.0,14.7,1.9,3.3,0.569,0.0,0.1,0.0,1.9,3.2,0.592,0.569,1.5,2.2,0.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3,
kevin durant,2021-22,33.0,BRK,NBA,PF,55,55,37.2,10.5,20.3,.518,2.1,5.5,.383,8.4,14.8,.568,.570,6.8,7.4,.910,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,
kevin durant,2022-23,34.0,TOT,NBA,PF,47,47,35.6,10.3,18.3,.560,2.0,4.9,.404,8.3,13.4,.617,.614,6.5,7.1,.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,2.1,29.1,
kevin durant,2023-24,35.0,PHO,NBA,PF,75,75,37.2,10.0,19.1,.523,2.2,5.4,.413,7.8,13.7,.567,.581,4.8,5.6,.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,
grayson allen,2021-22,26.0,MIL,NBA,SG,66.0,61.0,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,
grayson allen,2022-23,27.0,MIL,NBA,SG,72.0,70.0,27.4,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4,
grayson allen,2023-24,28.0,PHO,NBA,SG,75.0,74.0,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2.0,0.878,0.6,3.3,3.9,3.0,0.9,0.6,1.3,2.1,13.5,
damion lee,2021-22,29.0,GSW,NBA,SG,63,5,19.9,2.7,6.1,.441,1.0,3.0,.337,1.7,3.1,.541,.523,1.0,1.2,.880,0.4,2.8,3.2,1.0,0.6,0.1,0.6,1.5,7.4,
damion lee,2022-23,30.0,PHO,NBA,SG,74,5,20.4,2.7,6.1,.442,1.5,3.3,.445,1.2,2.8,.439,.564,1.3,1.4,.904,0.5,2.5,3.0,1.3,0.4,0.1,1.1,1.6,8.2,
damion lee,2023-24,31.0,,Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery),Did Not Play (injury—right knee surgery)
ej liddel,2022-23,22.0,,Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee)
ej liddel,2023-24,23.0,NOP,NBA,PF,8,0,2.9,0.1,0.8,.167,0.0,0.6,.000,0.1,0.1,1.000,.167,0.3,0.3,1.000,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5,
nassir little,2021-22,21.0,POR,NBA,SF,42.0,23.0,25.9,3.5,7.5,0.46,1.2,3.7,0.331,2.2,3.8,0.584,0.541,1.6,2.2,0.734,1.4,4.2,5.6,1.3,0.6,0.9,1.0,2.0,9.8,
nassir little,2022-23,22.0,POR,NBA,SF,54.0,4.0,18.1,2.5,5.6,0.442,1.1,2.9,0.367,1.4,2.7,0.524,0.538,0.6,0.9,0.717,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6,
nassir little,2023-24,23.0,PHO,NBA,SF,45.0,2.0,10.2,1.3,2.8,0.46,0.5,1.6,0.3,0.8,1.2,0.667,0.544,0.4,0.4,0.85,0.3,1.4,1.7,0.5,0.2,0.2,0.3,0.9,3.4,
bradley beal,2021-22,28.0,WAS,NBA,SG,40.0,40.0,36.0,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14.0,0.508,0.492,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,
bradley beal,2022-23,29.0,WAS,NBA,SG,50.0,50.0,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,0.551,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,
bradley beal,2023-24,30.0,PHO,NBA,SG,53.0,53.0,33.3,7.1,13.9,0.513,1.9,4.4,0.43,5.2,9.4,0.552,0.582,2.1,2.5,0.813,1.0,3.4,4.4,5.0,1.0,0.5,2.5,2.4,18.2,
jusuf nurkic,2021-22,27.0,POR,NBA,C,56.0,56.0,28.2,5.7,10.7,0.535,0.3,1.0,0.268,5.5,9.7,0.563,0.548,3.3,4.8,0.69,3.0,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15.0,
jusuf nurkic,2022-23,28.0,POR,NBA,C,52.0,52.0,26.8,5.0,9.7,0.519,0.8,2.3,0.361,4.2,7.4,0.567,0.561,2.4,3.7,0.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3,
jusuf nurkic,2023-24,29.0,PHO,NBA,C,76.0,76.0,27.3,4.2,8.3,0.51,0.3,1.2,0.244,3.9,7.1,0.555,0.528,2.2,3.4,0.64,2.9,8.1,11.0,4.0,1.1,1.1,2.3,3.3,10.9,
devin booker,2021-22,25.0,PHO,NBA,SG,68,68,34.5,9.7,20.9,0.466,2.7,7.0,0.383,7.0,13.9,0.508,0.53,4.6,5.3,0.868,0.7,4.4,5.0,4.8,1.1,0.4,2.4,2.6,26.8,
devin booker,2022-23,26.0,PHO,NBA,SG,53,53,34.6,9.9,20.1,0.494,2.1,6.0,0.351,7.8,14.2,0.554,0.546,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8,
devin booker,2023-24,27.0,PHO,NBA,PG,68,68,36.0,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13.0,0.552,0.55,6.0,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3.0,27.1,
de'aaron fox,2021-22,24.0,SAC,NBA,PG,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,
de'aaron fox,2022-23,25.0,SAC,NBA,PG,73,73,33.4,9.3,18.2,0.512,1.6,5.0,0.324,7.7,13.2,0.584,0.557,4.7,6.0,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25.0,
de'aaron fox,2023-24,26.0,SAC,NBA,PG,74,74,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2.0,0.4,2.6,2.6,26.6,
kevin huerter,2021-22,23.0,ATL,NBA,SF,74.0,60.0,29.6,4.7,10.3,0.454,2.2,5.6,0.389,2.5,4.7,0.53,0.559,0.6,0.7,0.808,0.4,3.0,3.4,2.7,0.7,0.4,1.2,2.5,12.1,
kevin huerter,2022-23,24.0,SAC,NBA,SG,75.0,75.0,29.4,5.6,11.5,0.485,2.7,6.8,0.402,2.9,4.7,0.604,0.603,1.3,1.7,0.725,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4,15.2,
kevin huerter,2023-24,25.0,SAC,NBA,SG,64.0,59.0,24.4,3.9,8.8,0.443,1.9,5.3,0.361,2.0,3.4,0.571,0.553,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2,
keegan murray,2022-23,22.0,SAC,NBA,SF,80,78,29.8,4.4,9.8,0.453,2.6,6.3,0.411,1.9,3.5,0.527,0.584,0.8,1.0,0.765,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2.0,12.2,
keegan murray,2023-24,23.0,SAC,NBA,SF,77,77,33.6,5.8,12.7,0.454,2.4,6.6,0.358,3.4,6.0,0.56,0.548,1.3,1.6,0.831,1.4,4.1,5.5,1.7,1.0,0.8,0.8,2.7,15.2,
jalen mcdaniels,2021-22,24.0,CHO,NBA,SF,55.0,2.0,16.3,2.2,4.6,0.484,0.7,2.0,0.38,1.5,2.7,0.562,0.565,1.0,1.3,0.736,0.7,2.4,3.1,1.1,0.5,0.4,0.7,1.7,6.2,
jalen mcdaniels,2022-23,25.0,TOT,NBA,SF,80.0,24.0,23.9,3.5,7.7,0.455,1.0,2.9,0.332,2.6,4.8,0.53,0.518,1.5,1.7,0.841,0.8,3.5,4.3,1.6,1.0,0.4,1.2,2.6,9.4,
jalen mcdaniels,2023-24,26.0,TOR,NBA,SF,50.0,1.0,10.8,1.3,3.8,0.344,0.2,1.4,0.169,1.1,2.4,0.449,0.376,0.5,0.7,0.73,0.4,1.2,1.6,0.7,0.4,0.1,0.6,1.0,3.4,
domantas sabonis,2021-22,25.0,TOT,NBA,PF,62.0,61.0,34.5,7.1,12.5,0.573,0.6,2.0,0.312,6.5,10.5,0.623,0.598,4.0,5.4,0.741,3.2,8.9,12.1,5.2,1.0,0.4,3.1,3.3,18.9,
domantas sabonis,2022-23,26.0,SAC,NBA,C,79.0,79.0,34.6,7.3,11.9,0.615,0.4,1.1,0.373,6.9,10.8,0.639,0.632,4.1,5.5,0.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1,
domantas sabonis,2023-24,27.0,SAC,NBA,C,82.0,82.0,35.7,7.7,13.0,0.594,0.4,1.1,0.379,7.3,12.0,0.613,0.609,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3.0,19.4,
trey lyles,2021-22,26.0,TOT,NBA,PF,75.0,23.0,20.5,3.5,7.5,0.466,0.9,2.8,0.321,2.6,4.7,0.552,0.526,2.6,3.2,0.802,1.2,3.9,5.1,1.2,0.4,0.4,1.0,1.6,10.5,
trey lyles,2022-23,27.0,SAC,NBA,PF,74.0,0.0,16.9,2.5,5.5,0.458,1.2,3.2,0.363,1.4,2.3,0.595,0.565,1.4,1.7,0.815,0.9,3.1,4.1,0.9,0.4,0.4,0.9,1.3,7.6,
trey lyles,2023-24,28.0,SAC,NBA,PF,58.0,0.0,20.0,2.5,5.5,0.445,1.4,3.8,0.384,1.0,1.8,0.578,0.576,0.8,1.2,0.7,1.1,3.4,4.4,1.2,0.3,0.3,0.7,1.5,7.2,
keon ellis,2022-23,23.0,SAC,NBA,SG,16,0,4.4,0.4,1.0,0.438,0.4,0.8,0.5,0.1,0.3,0.25,0.625,0.3,0.4,0.571,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5,
keon ellis,2023-24,24.0,SAC,NBA,SG,57,21,17.2,1.9,4.1,0.461,1.2,2.9,0.417,0.6,1.1,0.578,0.612,0.5,0.6,0.743,0.6,1.6,2.2,1.5,0.9,0.5,0.6,2.0,5.4,
malik monk,2021-22,23.0,LAL,NBA,SG,76.0,37.0,28.1,5.1,10.9,0.473,2.3,5.8,0.391,2.9,5.1,0.568,0.578,1.2,1.5,0.795,0.5,2.9,3.4,2.9,0.8,0.4,1.6,1.8,13.8,
malik monk,2022-23,24.0,SAC,NBA,SG,77.0,0.0,22.3,4.6,10.3,0.448,1.9,5.2,0.359,2.8,5.2,0.538,0.538,2.4,2.7,0.889,0.4,2.2,2.6,3.9,0.6,0.3,1.9,1.6,13.5,
malik monk,2023-24,25.0,SAC,NBA,SG,72.0,0.0,26.0,5.5,12.4,0.443,2.1,5.9,0.35,3.4,6.5,0.528,0.526,2.4,2.8,0.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4,
demar derozan,2021-22,32.0,CHI,NBA,PF,76.0,76.0,36.1,10.2,20.2,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,
demar derozan,2022-23,33.0,CHI,NBA,SF,74.0,74.0,36.2,8.9,17.6,0.504,0.6,1.9,0.324,8.3,15.7,0.526,0.522,6.2,7.1,0.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,
demar derozan,2023-24,34.0,CHI,NBA,SF,79.0,79.0,37.8,8.2,17.2,0.48,0.9,2.8,0.333,7.3,14.3,0.509,0.507,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2.0,24.0,
jordan mclaughlin,2021-22,25.0,MIN,NBA,PG,62,3,14.5,1.4,3.2,0.44,0.4,1.4,0.318,1.0,1.9,0.53,0.508,0.5,0.6,0.75,0.4,1.2,1.5,2.9,0.9,0.2,0.6,0.9,3.8,
jordan mclaughlin,2022-23,26.0,MIN,NBA,PG,43,0,15.8,1.4,3.4,0.421,0.6,1.8,0.308,0.9,1.6,0.552,0.503,0.3,0.4,0.833,0.3,1.1,1.4,3.4,0.7,0.1,0.8,0.7,3.7,
jordan mclaughlin,2023-24,27.0,MIN,NBA,PG,56,0,11.2,1.3,2.6,0.483,0.8,1.6,0.472,0.5,1.0,0.5,0.628,0.2,0.3,0.722,0.3,1.0,1.3,2.0,0.6,0.1,0.3,0.6,3.5,
alex len,2021-22,28.0,SAC,NBA,C,39.0,10.0,15.9,2.4,4.5,0.534,0.2,0.5,0.286,2.3,4.0,0.568,0.551,1.1,1.6,0.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6.0,
alex len,2022-23,29.0,SAC,NBA,C,26.0,2.0,6.2,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.533,0.4,0.6,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7,
alex len,2023-24,30.0,SAC,NBA,C,48.0,0.0,9.3,1.0,1.7,0.617,0.0,0.1,0.0,1.0,1.6,0.641,0.617,0.4,0.7,0.588,1.0,1.7,2.7,1.0,0.2,0.7,0.6,1.4,2.5,
orlando robinson,2022-23,22.0,MIA,NBA,C,31,1,13.7,1.5,2.9,0.528,0.0,0.2,0.0,1.5,2.7,0.566,0.528,0.7,1.0,0.71,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,3.7,
orlando robinson,2023-24,23.0,MIA,NBA,C,36,7,8.4,1.0,2.0,0.5,0.2,0.4,0.533,0.8,1.6,0.491,0.556,0.5,0.7,0.76,0.8,1.6,2.3,0.9,0.2,0.2,0.5,1.0,2.8,
desmond bane,2021-22,23.0,MEM,NBA,SG,76,76,29.8,6.7,14.5,0.461,3.0,6.9,0.436,3.7,7.6,0.484,0.565,1.8,2.0,0.903,0.6,3.8,4.4,2.7,1.2,0.4,1.5,2.6,18.2,
desmond bane,2022-23,24.0,MEM,NBA,SG,58,58,31.7,7.8,16.2,0.479,2.9,7.0,0.408,4.9,9.2,0.534,0.568,3.1,3.5,0.883,0.7,4.3,5.0,4.4,1.0,0.4,2.2,2.6,21.5,
desmond bane,2023-24,25.0,MEM,NBA,SG,42,42,34.4,8.6,18.5,0.464,3.3,8.6,0.381,5.3,9.9,0.536,0.552,3.3,3.8,0.87,0.9,3.5,4.4,5.5,1.0,0.5,2.7,2.9,23.7,
john collins,2021-22,24.0,ATL,NBA,PF,54.0,53.0,30.8,6.3,11.9,0.526,1.2,3.3,0.364,5.1,8.7,0.588,0.576,2.5,3.1,0.793,1.7,6.1,7.8,1.8,0.6,1.0,1.1,3.0,16.2,
john collins,2022-23,25.0,ATL,NBA,PF,71.0,71.0,30.0,5.1,10.0,0.508,1.0,3.4,0.292,4.1,6.6,0.619,0.557,2.0,2.5,0.803,1.1,5.4,6.5,1.2,0.6,1.0,1.1,3.1,13.1,
john collins,2023-24,26.0,UTA,NBA,PF,68.0,66.0,28.0,5.8,11.0,0.532,1.3,3.4,0.371,4.6,7.6,0.605,0.59,2.2,2.7,0.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,15.1,
jordan clarkson,2021-22,29.0,UTA,NBA,SG,79.0,1.0,27.1,5.9,14.1,0.419,2.4,7.6,0.318,3.5,6.5,0.535,0.504,1.8,2.2,0.828,0.8,2.6,3.5,2.5,0.8,0.2,1.6,1.9,16.0,
jordan clarkson,2022-23,30.0,UTA,NBA,SG,61.0,61.0,32.6,7.5,16.9,0.444,2.5,7.5,0.338,5.0,9.4,0.53,0.519,3.3,4.0,0.816,1.2,2.9,4.0,4.4,0.5,0.2,3.0,2.0,20.8,
jordan clarkson,2023-24,31.0,UTA,NBA,SG,55.0,19.0,30.6,6.1,14.8,0.413,1.7,5.6,0.294,4.5,9.2,0.485,0.469,3.2,3.7,0.881,0.9,2.5,3.4,5.0,0.6,0.1,2.7,1.5,17.1,
brice sensabaugh,2023-24,20.0,UTA,NBA,SF,32,11,18.3,2.7,6.8,0.39,1.1,3.6,0.296,1.6,3.2,0.495,0.468,1.2,1.3,0.902,0.5,2.7,3.2,1.7,0.4,0.2,1.5,1.3,7.5,
taylor hendricks,2023-24,20.0,UTA,NBA,PF,40,23,21.4,2.7,6.0,0.45,1.3,3.5,0.379,1.4,2.5,0.55,0.56,0.6,0.7,0.793,1.2,3.5,4.6,0.8,0.7,0.8,0.7,1.9,7.3,
keyonte george,2023-24,20.0,UTA,NBA,PG,75,44,27.0,4.3,10.9,0.391,2.0,5.9,0.334,2.3,5.0,0.459,0.482,2.5,3.0,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13.0,
collin sexton,2021-22,23.0,CLE,NBA,SG,11.0,11.0,28.7,6.2,13.7,0.45,1.0,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0.0,2.8,2.3,16.0,
collin sexton,2022-23,24.0,UTA,NBA,PG,48.0,15.0,23.9,4.9,9.8,0.506,1.0,2.5,0.393,3.9,7.2,0.546,0.558,3.4,4.1,0.819,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,
collin sexton,2023-24,25.0,UTA,NBA,SG,78.0,51.0,26.6,6.5,13.3,0.487,1.6,4.2,0.394,4.8,9.1,0.53,0.549,4.1,4.7,0.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2.0,18.7,
walker kessler,2022-23,21.0,UTA,NBA,C,74,40,23.0,4.0,5.6,0.72,0.0,0.0,0.333,4.0,5.6,0.723,0.721,1.1,2.1,0.516,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,9.2,
walker kessler,2023-24,22.0,UTA,NBA,C,64,22,23.3,3.6,5.5,0.654,0.1,0.3,0.211,3.5,5.2,0.68,0.66,0.9,1.5,0.602,2.6,4.9,7.5,0.9,0.5,2.4,1.0,2.1,8.1,
lauri markannen,2021-22,24.0,CLE,NBA,SF,61.0,61.0,30.8,5.1,11.5,0.445,2.2,6.2,0.358,2.9,5.3,0.548,0.542,2.3,2.6,0.868,1.0,4.7,5.7,1.3,0.7,0.5,0.9,2.1,14.8,
lauri markannen,2022-23,25.0,UTA,NBA,PF,66.0,66.0,34.4,8.7,17.3,0.499,3.0,7.7,0.391,5.6,9.6,0.585,0.586,5.3,6.0,0.875,2.0,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6,
lauri markannen,2023-24,26.0,UTA,NBA,PF,55.0,55.0,33.1,7.8,16.2,0.48,3.2,8.0,0.399,4.6,8.2,0.559,0.578,4.5,5.0,0.899,2.2,5.9,8.2,2.0,0.9,0.5,1.4,1.8,23.2,
christian wood,2021-22,26.0,HOU,NBA,C,68,67,30.8,6.5,12.9,.501,1.9,4.9,.390,4.5,8.0,.570,.576,3.0,4.9,.623,1.6,8.5,10.1,2.3,0.8,1.0,1.9,2.5,17.9,
christian wood,2022-23,27.0,DAL,NBA,C,67,17,25.9,5.9,11.5,.515,1.6,4.2,.376,4.3,7.3,.594,.583,3.2,4.2,.772,1.3,6.0,7.3,1.8,0.4,1.1,1.8,2.5,16.6,
christian wood,2023-24,28.0,LAL,NBA,PF,50,1,17.4,2.5,5.3,.466,0.7,2.3,.307,1.8,3.0,.587,.532,1.3,1.9,.702,0.8,4.3,5.1,1.0,0.3,0.7,1.0,1.4,6.9,
max christie,2022-23,19.0,LAL,NBA,SG,41,3,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.538,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,
max christie,2023-24,20.0,LAL,NBA,SG,67,7,14.1,1.5,3.6,0.427,0.6,1.8,0.356,0.9,1.8,0.496,0.515,0.5,0.7,0.783,0.2,1.9,2.1,0.9,0.3,0.3,0.5,0.9,4.2,
colin castleton,2023-24,23.0,LAL,NBA,C,16,0,3.7,0.6,1.0,0.563,0.0,0.0,,0.6,1.0,0.563,0.563,0.4,0.4,1.0,0.4,0.4,0.8,0.2,0.1,0.0,0.2,0.7,1.5,
lebron james,2021-22,37.0,LAL,NBA,C,56.0,56.0,37.2,11.4,21.8,0.524,2.9,8.0,0.359,8.6,13.8,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,
